curricula,problem_set_name,question_id,academic_year,number_of_students,incorrect_count,percent_correct,correct_answer,first_common_wrong_answer,second_common_wrong_answer,third_common_wrong_answer,first_common_wrong_answer_count,second_common_wrong_answer_count,third_common_wrong_answer_count
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 16 (6.EE.2.a, 6.EE.2.b)",1226157,19_20,64,38.0,42.18,"e/d - 15 , (e/d) - 15","""15-e/d""","""15-(e/d)""","""(e+d)-15""",6.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 17 (6.EE.2.a, 6.EE.2.b)",1226171,18_19,54,22.0,61.11,(h+b)/5,"""<p>h+b/5</p>""","""<p>(h+b)5</p>""","""<p>(h+b)</p>""",6.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 17 (6.EE.2.a, 6.EE.2.b)",1226171,19_20,70,37.0,48.57,(h+b)/5,"""h+b/5""","""5(h+b)""","""(h+b)*5""",17.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 2 (6.EE.3),1459195,18_19,152,33.0,78.94,3,"""4""","""12""","""108""",22.0,7.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 2 (6.EE.3),1459195,19_20,206,50.0,76.21,3,"""4""","""48""","""1""",42.0,3.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 2 (6.EE.3),1576791,18_19,151,19.0,88.07,15,"""45""","""3""","""4""",7.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 2 (6.EE.3),1576791,19_20,195,45.0,77.43,15,"""3""","""675""","""45""",15.0,6.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 21 (6.EE.2.a, 6.EE.2.c, 6.EE.6)",1459661,17_18,20,19.0,5.0,50,"""100""","""10""","""0.20""",9.0,3.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 21 (6.EE.2.a, 6.EE.2.c, 6.EE.6)",1459661,18_19,65,45.0,32.3,50,"""100""","""10""","""20""",18.0,4.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Exit Ticket---6.4 Lesson 21 (6.EE.2.a, 6.EE.2.c, 6.EE.6)",1459661,19_20,47,18.0,63.82,50,"""100""","""5""","""40""",7.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 25 (6.EE.5),1459793,18_19,66,22.0,68.18,.7,"""7""","""3.7""","""0.8""",8.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 25 (6.EE.5),1459793,19_20,135,29.0,79.25,.7,"""7""","""1.5""","""2.3""",10.0,4.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 25 (6.EE.5),1459796,18_19,60,15.0,76.66,80,"""20""","""40""","""8""",9.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 25 (6.EE.5),1459796,19_20,129,51.0,61.24,80,"""20""","""40""","""2""",28.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 26 (6.EE.7),1459816,17_18,149,59.0,61.07,20,"""12""","""10""","""11""",52.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 26 (6.EE.7),1459816,18_19,64,19.0,71.87,20,"""12""","""18""","""4""",15.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 26 (6.EE.7),1459816,19_20,83,34.0,60.24,20,"""12""","""11""","""-12""",29.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 30 (6.EE.7),1459838,17_18,37,23.0,40.54,110,"""70""","""20""","""10""",7.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 30 (6.EE.7),1459838,18_19,132,56.0,58.33,110,"""70""","""20""","""180""",17.0,16.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 30 (6.EE.7),1459838,19_20,56,21.0,62.5,110,"""70""","""10""","""1200""",8.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 4 (6.EE.3),1223517,18_19,244,41.0,83.6,5,"""6""","""10""","""1""",23.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 4 (6.EE.3),1223517,19_20,57,16.0,73.68,5,"""6""","""12""","""1""",10.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225199,16_17,415,139.0,66.74,32,"""140""","""31""","""20""",25.0,9.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225199,17_18,223,56.0,75.33,32,"""140""","""62""","""28""",16.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225199,18_19,174,55.0,68.96,32,"""140""","""62""","""2""",10.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225199,19_20,38,15.0,63.15,32,"""140""","""76""","""-16.5""",6.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225200,16_17,347,138.0,60.51,140,"""32""","""50""","""206""",29.0,17.0,12.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225200,17_18,385,136.0,64.93,140,"""32""","""206""","""50""",22.0,12.0,12.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225200,18_19,276,63.0,77.53,140,"""32""","""50""","""206""",15.0,8.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225200,19_20,71,24.0,67.6,140,"""50""","""32""","""17""",7.0,7.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225198,16_17,202,69.0,66.33,3,"""55""","""5""","""75""",23.0,5.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225198,17_18,145,43.0,71.03,3,"""55""","""6""","""5""",11.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 6 (6.EE.1),1225198,18_19,189,60.0,68.78,3,"""55""","""7""","""1""",14.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 7 (6.EE.2.c),1225718,16_17,82,57.0,31.7,14,"""10""","""24""","""12""",31.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 7 (6.EE.2.c),1225718,18_19,59,38.0,37.28,14,"""10""","""5""","""6""",24.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 7 (6.EE.2.c),1225718,19_20,45,27.0,40.0,14,"""10""","""12""","""6""",16.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 9 (6.EE.2.a),1225875,16_17,25,15.0,44.0,k-5,"""5 - k""","""5""","""k -""",12.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 9 (6.EE.2.a),1225875,18_19,503,140.0,72.36,k-5,"""5-k""","""5+k""","""k+5""",114.0,6.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.4 Lesson 9 (6.EE.2.a),1225875,19_20,65,38.0,43.07,k-5,"""5-k""","""5+k""","""k+5""",25.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245570,16_17,73,24.0,68.49,175,"""525""","""210""","""700""",10.0,6.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245570,17_18,154,85.0,45.45,175,"""525""","""210""","""700""",25.0,11.0,9.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245570,18_19,188,109.0,42.55,175,"""525""","""210""","""700""",18.0,18.0,11.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245570,19_20,258,174.0,32.94,175,"""525""","""700""","""210""",61.0,24.0,23.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245571,17_18,154,24.0,85.06,14,"""21""","""42""","""12""",7.0,5.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245571,18_19,176,42.0,76.7,14,"""21""","""42""","""12""",12.0,8.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245571,19_20,279,44.0,84.58,14,"""21""","""42""","""6""",16.0,6.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245569,17_18,163,43.0,74.23,200,"""100""","""120""","""42""",6.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245569,18_19,196,87.0,56.12,200,"""240""","""2400""","""42""",19.0,10.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 1 (6.G.1),1245569,19_20,277,106.0,62.09,200,"""120""","""42""","""100""",22.0,12.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 17 (6.G.4),1246943,18_19,137,92.0,33.57,56,"""60""","""52""","""3""",19.0,11.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 17 (6.G.4),1246943,19_20,65,60.0,9.23,56,"""60""","""20""","""52""",9.0,7.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 18 (6.G.4),1246944,16_17,22,14.0,40.9,328,"""328""","""304""",,12.0,1.0,
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 18 (6.G.4),1246944,18_19,58,33.0,44.82,328,"""384""","""164""","""240""",9.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 18 (6.G.4),1246944,19_20,73,44.0,41.09,328,"""240""","""120""","""24""",17.0,6.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 2 (6.G.1),1245578,16_17,73,21.0,72.6,24,"""48""","""105.84""","""80""",10.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 2 (6.G.1),1245578,17_18,76,40.0,48.68,24,"""48""","""480""","""60""",22.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 2 (6.G.1),1245578,18_19,131,23.0,83.2,24,"""48""","""21""","""2.4""",16.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 2 (6.G.1),1245578,19_20,262,117.0,55.72,24,"""48""","""80""","""480""",64.0,10.0,10.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 3 (6.G.1),1245594,16_17,43,28.0,37.2,52.5,"""42""","""105""","""84""",6.0,6.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 3 (6.G.1),1245594,18_19,171,101.0,41.52,52.5,"""105""","""42""","""84""",22.0,17.0,11.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 3 (6.G.1),1245594,19_20,197,116.0,41.62,52.5,"""42""","""21""","""105""",39.0,12.0,12.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 3 (6.G.1),1245595,18_19,142,69.0,52.11,369,"""738""","""288""","""162""",9.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 3 (6.G.1),1245595,19_20,176,54.0,69.88,369,"""738""","""288""","""576""",6.0,4.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 4 (6.G.1),1245597,18_19,114,51.0,56.14,105.84,"""211.68""","""4445.28""","""49.14""",14.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 4 (6.G.1),1245597,19_20,165,66.0,60.0,105.84,"""211.68""","""50.4""","""105""",21.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 4 (6.G.1),1245598,18_19,106,49.0,54.71,210,"""60""","""150""","""420""",11.0,6.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 4 (6.G.1),1245598,19_20,202,81.0,60.39,210,"""60""","""420""","""150""",15.0,9.0,6.0
EngageNY/Eureka Math (© by Great Minds®) *,Exit Ticket---6.5 Lesson 4 (6.G.1),1245599,16_17,62,21.0,67.74,126,"""210""","""252""","""441""",10.0,3.0,2.0
